car_model,car_brand,car_full_name,registration_year,km_to_date,sale_price,fuel_type,transmission_type,sale_picture_link
a1,audi,audi a1 sportback 1.4 tdi design,2015,136000,14900,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6innizwgyow1sb2vzazitu1revlrmufqifq.t248gn3wnee1w6c79zyj1tpjezyadmlwsgfcpamstna/image;s=320x240
a4,audi,audi a4 avant 35 tdi design s tronic,2019,66621,28950,diesel,automatica,none
c5,citroen,citroen c5 aircross 1.2 puretech shine eat8,2020,60215,24900,gasolina,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imoxdtjtzw9xzm4ybtmtu1revlrmufqifq.vfsutry1eicmcdbuoe_ntziehww4jy2dugknxmhzl8o/image;s=320x240
c3,citroen,citroen c3 1.2 puretech shine,2019,43693,14700,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijfjogfsnjfzzth1ny1tverwvexqvcj9.ficldn0zdvhn3bwnu2hhr0h1htlulxic_yoi0rtg9o8/image;s=320x240
q3,audi,audi q3 2.0 tdi quattro sport s tronic,2018,198225,21990,diesel,automatica,none
a6,audi,audi a6 avant 2.0 tdi advance s tronic,2017,140845,28899,diesel,automatica,none
c3,citroen,citroen c3 1.2 puretech feel,2019,58478,13490,gasolina,manual,none
q2,audi,audi q2 30 tfsi advanced,2022,22000,31250,gasolina,manual,none
q5,audi,audi q5 sportback 35 tdi advance s tronic,2022,21400,59000,diesel,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imtucmlkymxtewlroditu1revlrmufqifq.zfx5vrmmwwjkuw7jwazevfeqmzkhhwejddadd_hsduw/image;s=320x240
c3,citroen,citroen c3 picasso,2009,157000,8250,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inp6oxhxngtyamvvdjitu1revlrmufqifq.g4bs_p-ne7qpyca4xfcmhsjpkddi0ersdnltkzhsclc/image;s=320x240
c4,citroen,citroen c4 1.6 bluehdi feel,2018,87862,15990,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6innym29qanrkctjkcditu1revlrmufqifq.mstnpg4vghe0n0virzsdrx-9r-grpdssthgj19ixgcc/image;s=320x240
a1,audi,audi a1 sportback 25 tfsi advanced,2022,36000,22890,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imv2bzljadm3etz6etetu1revlrmufqifq.d7xiatvngkxk43clutqqzzdvko1vthyzocyj1mv8gp4/image;s=320x240
c3,citroen,citroen c3 aircross 1.2 puretech c-series,2022,38827,17740,gasolina,manual,none
a1,audi,audi a1 sportback 1.4 tdi (ultra),2015,146088,15750,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imdsdxlnmxzhzhjxmzmtu1revlrmufqifq.cykutqoxe93f2218ht4cvxyyhrcquxq8twkobdydu88/image;s=320x240
a4,audi,audi a4 avant 2.0 tdi business line,2017,108035,22950,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijdrm2m5ejjmzxhyajitu1revlrmufqifq.jdesf_4iv7-c6vr286qlxttky7dyejt5fhvxjrr6vuu/image;s=320x240
a3,audi,audi a3 sportback 1.0 tfsi sport s tronic,2019,70879,23900,gasolina,automatica,none
c1,citroen,citroen c1 1.0 vti feel s&s,2019,46100,12500,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6invud3z1a3g3nwm1ci1tverwvexqvcj9.owvess3yuj-5qyckwxnf5wejwycpkyxfxtvezawescm/image;s=320x240
c5,citroen,citroen c5 aircross 1.5 bluehdi feel,2020,50463,27100,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijfwbxk2d2jxnxpuyy1tverwvexqvcj9.z5atdy74oucan4ouanoocjlqaa81ic5nkbjghcy9qge/image;s=320x240
c3,citroen,citroen c3 1.2 puretech shine,2022,13003,17990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inz2nzd2dzy0bg53mtmtu1revlrmufqifq.rchfo4r4hk5fzzp2r8va2koywyeugijm2ttmqnff9yk/image;s=320x240
a6,audi,audi a6 avant 40 tdi sport s tronic,2019,50844,41990,diesel,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijrqbjhpdg5uy3fvzy1tverwvexqvcj9.d4tkzisexctyptnjvcjxcg7zfeo7ljpvbipywb_ov2y/image;s=320x240
ds3,citroen,citroen ds3 1.6 e-hdi so chic,2011,242565,8900,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imvvnhyydxrkngo2ms1tverwvexqvcj9.3koqbntprr8xmvvomyvrohyf8e_cymvrytrsr2ihxmq/image;s=320x240
c4,citroen,citroen c4 cactus,2019,86000,17690,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imk3ogdkcwn2ajfzzjetu1revlrmufqifq.4kfgaxl-dfzwxdkoft8o1hgvfnm0wjb0byhjnj3vfbs/image;s=320x240
a8,audi,audi a8 4.2 tdi v8 quattro exclusive,2012,259000,29900,diesel,automatica,none
c3,citroen,citroen c3 1.6 bluehdi feel,2017,153000,12990,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6infmohhrehdienvhbzmtu1revlrmufqifq.51o9tw7rcyea0qanqgfspcri37nittfnczd5o8omuyw/image;s=320x240
a1,audi,audi a1 sportback 1.0 tfsi design,2018,129600,15900,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inzoy241yxh6ehj1mzmtu1revlrmufqifq.jfr6bx6k-er-hn0pqahuu0_kbb3jsq0bw19u3vbupas/image;s=320x240
a3,audi,audi a3 sportback 45 tfsie s line,2021,66955,36900,hibrido,automatica,none
c3,citroen,citroen c3 1.6 bluehdi feel,2018,97000,14950,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inz5b2zvdnbleghlci1tverwvexqvcj9.eq7-k1eypl6s-an49x2shmfkoxch6ceq12vp9zmrpiy/image;s=320x240
c5,citroen,citroen c5 aircross 1.5 bluehdi feel pack,2021,60807,26990,diesel,manual,none
ds3,citroen,citroen ds3 1.6 e-hdi so chic,2011,211840,8990,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imnyd2thdnfsywrtbi1tverwvexqvcj9.mwjd6yn_c_hfzho2_uyry3ceqp6adi1kem9hvzcglyw/image;s=320x240
